Entry_ID,Entry_Created,Entry_LastModified,English,English,English,Chinese_PRC,Chinese_PRC
0,6/3/2020 12:45:25 PM,6/3/2020 12:46:33 PM,creator,Creator,,创建者,创建人
1,6/3/2020 12:45:50 PM,6/3/2020 12:45:50 PM,Search,search,,搜索,
2,6/3/2020 12:48:22 PM,6/3/2020 12:51:22 PM,Language pair,,,语言对,
3,6/3/2020 12:48:58 PM,6/3/2020 12:48:58 PM,Filename,,,文件名,
4,6/3/2020 12:49:43 PM,6/3/2020 12:51:44 PM,Degree of completion,,,完成度,
5,6/3/2020 12:49:57 PM,6/3/2020 12:49:57 PM,Operation,,,操作,
6,6/3/2020 12:50:09 PM,6/3/2020 12:50:09 PM,Preview,,,预览,
7,6/3/2020 12:50:56 PM,6/3/2020 12:50:56 PM,Go back,,,返回,
8,6/3/2020 12:52:00 PM,6/3/2020 12:52:00 PM,Source text,,,原文,
9,6/3/2020 12:52:18 PM,6/3/2020 12:52:18 PM,Save,,,保存,
10,6/3/2020 12:52:36 PM,6/3/2020 12:52:36 PM,Cancel,,,取消,
11,6/3/2020 12:52:54 PM,6/3/2020 12:52:54 PM,Edit,,,点击进行编辑,编辑
12,6/3/2020 12:53:16 PM,6/3/2020 12:53:16 PM,#,,,#,
13,6/3/2020 12:53:29 PM,6/3/2020 12:53:29 PM,#,,,#,
14,6/3/2020 12:54:02 PM,6/3/2020 12:54:02 PM,Creation date,,,创建时间,
15,6/3/2020 12:54:25 PM,6/3/2020 12:54:25 PM,Corresponding,,,对应的,
16,6/3/2020 12:54:35 PM,6/3/2020 12:56:32 PM,Glossary,,,术语库,
17,6/3/2020 12:54:51 PM,6/3/2020 1:18:29 PM,Name,name,,名称,
18,6/3/2020 12:55:10 PM,6/3/2020 1:18:40 PM,Description,description,,描述,
19,6/3/2020 12:56:01 PM,6/3/2020 1:00:02 PM,add,Add,,添加,
20,6/3/2020 12:56:13 PM,6/3/2020 12:56:13 PM,Translation Memory,,,翻译记忆库,
21,6/3/2020 12:58:29 PM,6/3/2020 12:58:29 PM,Delete,delete,,删除,
22,6/3/2020 12:58:58 PM,6/3/2020 12:58:58 PM,file,File,,文件,
23,6/3/2020 1:02:24 PM,6/3/2020 1:12:39 PM,e-mail address,e-mail,,邮箱,
24,6/3/2020 1:08:42 PM,6/3/2020 1:12:19 PM,register,Register,,注册,
25,6/3/2020 1:09:16 PM,6/3/2020 1:09:16 PM,Account,account,,帐号,
26,6/3/2020 1:09:53 PM,6/3/2020 1:10:38 PM,Invitation Code,invitation Code,,邀请码,
27,6/3/2020 1:12:11 PM,6/3/2020 1:12:11 PM,Login in,,,登录,
28,6/3/2020 1:14:09 PM,6/3/2020 1:14:09 PM,Username,username,,用户名,
29,6/3/2020 1:14:36 PM,6/3/2020 1:14:36 PM,project,Project,,项目,
30,6/3/2020 1:15:41 PM,6/3/2020 1:15:41 PM,Recycle Bin,,,回收站,
31,6/3/2020 1:17:04 PM,6/3/2020 1:17:04 PM,language,Language,,语言,
32,6/3/2020 1:17:43 PM,6/3/2020 1:20:12 PM,participant,Participant,,参与者,
33,6/3/2020 1:21:40 PM,6/3/2020 1:21:40 PM,quit,Quit,,退出,
34,6/3/2020 1:22:23 PM,6/3/2020 1:22:23 PM,reset,,,重置,
35,6/3/2020 1:23:57 PM,6/3/2020 1:23:57 PM,password,,,密码,
36,6/3/2020 2:47:51 PM,6/3/2020 2:47:51 PM,view,,,查看,
37,6/3/2020 2:50:36 PM,6/3/2020 2:50:36 PM,Machine Translation,,,机器翻译,
38,6/3/2020 3:05:50 PM,6/3/2020 3:05:50 PM,unccessfully,,,失败,
39,6/3/2020 3:06:09 PM,6/3/2020 3:06:09 PM,successfully,,,成功,
40,6/3/2020 3:06:49 PM,6/3/2020 3:06:49 PM,Move,,,移除,
41,6/3/2020 3:08:51 PM,6/3/2020 3:08:51 PM,upload,,,上传,
